timestamp,sensor_id,humidity_rad,temp_rad,humidity_room,temp_room,temperature (outdoor)
4/3/2025 19:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:22,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:32,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:42,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:52,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 19:55,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:02,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:12,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:22,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 13:58,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 14:10,outdoor,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,outdoor,#N/A,#N/A,#N/A,#N/A,
7/3/2029 10:46,room,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:24,room,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:24,room,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:34,room,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 15:43,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
1/1/2021 0:00,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:44,room,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:54,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:55,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:56,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:56,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:57,radiator,#N/A,#N/A,#N/A,#N/A,
4/2/2025 19:54,room,#N/A,#N/A,#N/A,#N/A,
4/2/2025 20:02,radiator,41.3,25.5,#N/A,#N/A,
4/3/2025 20:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:32,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:42,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 20:55,room,#N/A,#N/A,#N/A,#N/A,
