Unix Time,Eastern Time,Occupancy
1745421480,2025-04-23 11:18:00,1
1745421540,2025-04-23 11:19:00,1
1745421600,2025-04-23 11:20:00,1
1745421660,2025-04-23 11:21:00,1
1745421720,2025-04-23 11:22:00,1
1745421780,2025-04-23 11:23:00,1
1745421840,2025-04-23 11:24:00,1
1745421900,2025-04-23 11:25:00,1
1745421960,2025-04-23 11:26:00,1
1745422020,2025-04-23 11:27:00,1
1745422080,2025-04-23 11:28:00,1
1745422140,2025-04-23 11:29:00,1
1745422200,2025-04-23 11:30:00,1
1745422260,2025-04-23 11:31:00,1
1745422320,2025-04-23 11:32:00,1
1745422380,2025-04-23 11:33:00,1
1745422440,2025-04-23 11:34:00,1
1745422500,2025-04-23 11:35:00,1
1745422560,2025-04-23 11:36:00,1
1745422620,2025-04-23 11:37:00,1
1745422680,2025-04-23 11:38:00,1
1745422740,2025-04-23 11:39:00,1
1745422800,2025-04-23 11:40:00,1
1745422860,2025-04-23 11:41:00,1
1745422920,2025-04-23 11:42:00,1
1745422980,2025-04-23 11:43:00,1
1745423040,2025-04-23 11:44:00,1
1745423100,2025-04-23 11:45:00,1
1745423160,2025-04-23 11:46:00,1
1745423220,2025-04-23 11:47:00,1
1745423280,2025-04-23 11:48:00,1
1745423340,2025-04-23 11:49:00,1
1745423400,2025-04-23 11:50:00,1
1745423460,2025-04-23 11:51:00,1
1745423520,2025-04-23 11:52:00,1
1745423580,2025-04-23 11:53:00,1
1745423640,2025-04-23 11:54:00,1
1745423700,2025-04-23 11:55:00,1
1745423760,2025-04-23 11:56:00,1
1745423820,2025-04-23 11:57:00,1
1745423880,2025-04-23 11:58:00,1
1745423940,2025-04-23 11:59:00,1
1745424000,2025-04-23 12:00:00,1
1745424060,2025-04-23 12:01:00,1
1745424120,2025-04-23 12:02:00,1
1745424180,2025-04-23 12:03:00,1
1745424240,2025-04-23 12:04:00,1
1745424300,2025-04-23 12:05:00,1
1745424360,2025-04-23 12:06:00,1
1745424420,2025-04-23 12:07:00,1
1745424480,2025-04-23 12:08:00,1
1745424540,2025-04-23 12:09:00,1
1745424600,2025-04-23 12:10:00,1
1745424660,2025-04-23 12:11:00,1
1745424720,2025-04-23 12:12:00,1
1745424780,2025-04-23 12:13:00,1
1745424840,2025-04-23 12:14:00,1
1745424900,2025-04-23 12:15:00,1
1745424960,2025-04-23 12:16:00,1
1745425020,2025-04-23 12:17:00,1
1745425080,2025-04-23 12:18:00,1
1745425140,2025-04-23 12:19:00,1
1745425200,2025-04-23 12:20:00,1
1745425260,2025-04-23 12:21:00,1
1745425320,2025-04-23 12:22:00,1
1745425380,2025-04-23 12:23:00,1
1745425440,2025-04-23 12:24:00,1
1745425500,2025-04-23 12:25:00,1
1745425560,2025-04-23 12:26:00,1
1745425620,2025-04-23 12:27:00,1
1745425680,2025-04-23 12:28:00,1
1745425740,2025-04-23 12:29:00,1
1745425800,2025-04-23 12:30:00,1
1745425860,2025-04-23 12:31:00,1
1745425920,2025-04-23 12:32:00,1
1745425980,2025-04-23 12:33:00,1
1745426040,2025-04-23 12:34:00,1
1745426100,2025-04-23 12:35:00,1
1745426160,2025-04-23 12:36:00,1
1745426220,2025-04-23 12:37:00,1
1745426280,2025-04-23 12:38:00,1
1745426340,2025-04-23 12:39:00,1
1745426400,2025-04-23 12:40:00,1
1745426460,2025-04-23 12:41:00,1
1745426520,2025-04-23 12:42:00,1
1745426580,2025-04-23 12:43:00,1
1745426640,2025-04-23 12:44:00,1
1745426700,2025-04-23 12:45:00,1
1745426760,2025-04-23 12:46:00,1
1745426820,2025-04-23 12:47:00,1
1745426880,2025-04-23 12:48:00,1
1745426940,2025-04-23 12:49:00,1
1745427000,2025-04-23 12:50:00,1
1745427060,2025-04-23 12:51:00,1
1745427120,2025-04-23 12:52:00,1
1745427180,2025-04-23 12:53:00,1
1745427240,2025-04-23 12:54:00,1
1745427300,2025-04-23 12:55:00,1
1745427360,2025-04-23 12:56:00,1
1745427420,2025-04-23 12:57:00,1
1745427480,2025-04-23 12:58:00,1
1745427540,2025-04-23 12:59:00,1
1745427600,2025-04-23 13:00:00,1
1745427660,2025-04-23 13:01:00,1
1745427720,2025-04-23 13:02:00,1
1745427780,2025-04-23 13:03:00,1
1745427840,2025-04-23 13:04:00,1
1745427900,2025-04-23 13:05:00,1
1745427960,2025-04-23 13:06:00,1
1745428020,2025-04-23 13:07:00,1
1745428080,2025-04-23 13:08:00,1
1745428140,2025-04-23 13:09:00,1
1745428200,2025-04-23 13:10:00,1
1745428260,2025-04-23 13:11:00,1
1745428320,2025-04-23 13:12:00,1
1745428380,2025-04-23 13:13:00,1
1745428440,2025-04-23 13:14:00,1
1745428500,2025-04-23 13:15:00,1
1745428560,2025-04-23 13:16:00,1
1745428620,2025-04-23 13:17:00,1
1745428680,2025-04-23 13:18:00,1
1745428740,2025-04-23 13:19:00,1
1745428800,2025-04-23 13:20:00,1
1745428860,2025-04-23 13:21:00,1
1745428920,2025-04-23 13:22:00,1
1745428980,2025-04-23 13:23:00,1
1745429040,2025-04-23 13:24:00,1
1745429100,2025-04-23 13:25:00,1
1745429160,2025-04-23 13:26:00,1
1745429220,2025-04-23 13:27:00,1
1745429280,2025-04-23 13:28:00,1
1745429340,2025-04-23 13:29:00,1
1745429400,2025-04-23 13:30:00,1
1745429460,2025-04-23 13:31:00,1
1745429520,2025-04-23 13:32:00,1
1745429580,2025-04-23 13:33:00,1
1745429640,2025-04-23 13:34:00,1
1745429700,2025-04-23 13:35:00,1
1745429760,2025-04-23 13:36:00,1
1745429820,2025-04-23 13:37:00,1
1745429880,2025-04-23 13:38:00,1
1745429940,2025-04-23 13:39:00,1
1745430000,2025-04-23 13:40:00,1
1745430060,2025-04-23 13:41:00,1
1745430120,2025-04-23 13:42:00,1
1745430180,2025-04-23 13:43:00,1
1745430240,2025-04-23 13:44:00,1
1745430300,2025-04-23 13:45:00,1
1745430360,2025-04-23 13:46:00,1
1745430420,2025-04-23 13:47:00,1
1745430480,2025-04-23 13:48:00,1
1745430540,2025-04-23 13:49:00,1
1745430600,2025-04-23 13:50:00,1
1745430660,2025-04-23 13:51:00,1
1745430720,2025-04-23 13:52:00,1
1745430780,2025-04-23 13:53:00,1
1745430840,2025-04-23 13:54:00,1
1745430900,2025-04-23 13:55:00,1
1745430960,2025-04-23 13:56:00,1
1745431020,2025-04-23 13:57:00,1
1745431080,2025-04-23 13:58:00,1
1745431140,2025-04-23 13:59:00,1
1745431200,2025-04-23 14:00:00,1
1745431260,2025-04-23 14:01:00,1
1745431320,2025-04-23 14:02:00,1
1745431380,2025-04-23 14:03:00,1
1745431440,2025-04-23 14:04:00,1
1745431500,2025-04-23 14:05:00,1
1745431560,2025-04-23 14:06:00,1
1745431620,2025-04-23 14:07:00,1
1745431680,2025-04-23 14:08:00,1
1745431740,2025-04-23 14:09:00,1
1745431800,2025-04-23 14:10:00,1
1745431860,2025-04-23 14:11:00,1
1745431920,2025-04-23 14:12:00,1
1745431980,2025-04-23 14:13:00,1
1745432040,2025-04-23 14:14:00,1
1745432100,2025-04-23 14:15:00,1
1745432160,2025-04-23 14:16:00,1
1745432220,2025-04-23 14:17:00,1
1745432280,2025-04-23 14:18:00,1
1745432340,2025-04-23 14:19:00,1
1745432400,2025-04-23 14:20:00,1
1745432460,2025-04-23 14:21:00,1
1745432520,2025-04-23 14:22:00,1
1745432580,2025-04-23 14:23:00,1
1745432640,2025-04-23 14:24:00,1
1745432700,2025-04-23 14:25:00,1
1745432760,2025-04-23 14:26:00,1
1745432820,2025-04-23 14:27:00,1
1745432880,2025-04-23 14:28:00,1
1745432940,2025-04-23 14:29:00,1
1745433000,2025-04-23 14:30:00,1
1745433060,2025-04-23 14:31:00,1
1745433120,2025-04-23 14:32:00,1
1745433180,2025-04-23 14:33:00,1
1745433240,2025-04-23 14:34:00,1
1745433300,2025-04-23 14:35:00,1
1745433360,2025-04-23 14:36:00,1
1745433420,2025-04-23 14:37:00,1
1745433480,2025-04-23 14:38:00,1
1745433540,2025-04-23 14:39:00,1
1745433600,2025-04-23 14:40:00,1
1745433660,2025-04-23 14:41:00,1
1745433720,2025-04-23 14:42:00,1
1745433780,2025-04-23 14:43:00,1
1745433840,2025-04-23 14:44:00,1
1745433900,2025-04-23 14:45:00,1
1745433960,2025-04-23 14:46:00,1
1745434020,2025-04-23 14:47:00,1
1745434080,2025-04-23 14:48:00,1
1745434140,2025-04-23 14:49:00,1
1745434200,2025-04-23 14:50:00,1
1745434260,2025-04-23 14:51:00,1
1745434320,2025-04-23 14:52:00,1
1745434380,2025-04-23 14:53:00,1
1745434440,2025-04-23 14:54:00,1
1745434500,2025-04-23 14:55:00,1
1745434560,2025-04-23 14:56:00,1
1745434620,2025-04-23 14:57:00,1
1745434680,2025-04-23 14:58:00,1
1745434740,2025-04-23 14:59:00,1
1745434800,2025-04-23 15:00:00,0
1745434860,2025-04-23 15:01:00,0
1745434920,2025-04-23 15:02:00,0
1745434980,2025-04-23 15:03:00,0
1745435040,2025-04-23 15:04:00,0
1745435100,2025-04-23 15:05:00,0
1745435160,2025-04-23 15:06:00,0
1745435220,2025-04-23 15:07:00,0
1745435280,2025-04-23 15:08:00,0
1745435340,2025-04-23 15:09:00,0
1745435400,2025-04-23 15:10:00,0
1745435460,2025-04-23 15:11:00,0
1745435520,2025-04-23 15:12:00,0
1745435580,2025-04-23 15:13:00,0
1745435640,2025-04-23 15:14:00,0
1745435700,2025-04-23 15:15:00,0
1745435760,2025-04-23 15:16:00,0
1745435820,2025-04-23 15:17:00,0
1745435880,2025-04-23 15:18:00,0
1745435940,2025-04-23 15:19:00,0
1745436000,2025-04-23 15:20:00,0
1745436060,2025-04-23 15:21:00,0
1745436120,2025-04-23 15:22:00,0
1745436180,2025-04-23 15:23:00,0
1745436240,2025-04-23 15:24:00,0
1745436300,2025-04-23 15:25:00,0
1745436360,2025-04-23 15:26:00,0
1745436420,2025-04-23 15:27:00,0
1745436480,2025-04-23 15:28:00,0
1745436540,2025-04-23 15:29:00,0
1745436600,2025-04-23 15:30:00,0
1745436660,2025-04-23 15:31:00,0
1745436720,2025-04-23 15:32:00,0
1745436780,2025-04-23 15:33:00,0
1745436840,2025-04-23 15:34:00,0
